Team,Location,Stadium,Capacity,Season
Deportivo La Coruna,A Coruna,Riazor,32912,2017/2018
Eibar,Eibar,Ipurua,7083,2017/2018
Espanyol,Barcelona,Cornella-El Prat,40500,2017/2018
Getafe,Madrid,Coliseum Alfonso Perez,17000,2017/2018
Girona,Girona,Montilivi,13450,2017/2018
Las Palmas,Las Palmas,Gran Canaria,32400,2017/2018
Leganes,Madrid,Butarque,11454,2017/2018
Levante,Valencia,Ciutat de Valencia,26354,2017/2018
Malaga,Malaga,La Rosaleda,30044,2017/2018
Real Betis,Seville,Benito Villamarín,60720,2017/2018
Real Madrid,Madrid,Santiago Bernabeu,81044,2017/2018
Real Sociedad,San Sebastian,Anoeta,32000,2017/2018
Sevilla,Seville,Ramon Sanchez Pizjuan,42714,2017/2018
Valencia,Valencia,Mestalla,49500,2017/2018
Villarreal,Villarreal,Estadio de la Ceramica,24890,2017/2018
Alaves,Vitoria-Gasteiz,Mendizorrotza,19840,2018/2019
Athletic Bilbao,Bilbao,San Mames,53000,2018/2019
Atletico Madrid,Madrid,Wanda Metropolitano,68000,2018/2019
Barcelona,Barcelona,Camp Nou,99354,2018/2019
Celta Vigo,Vigo,Balaidos,29000,2018/2019
Eibar,Eibar,Ipurua,7083,2018/2019
Espanyol,Barcelona,RCDE Stadium,40000,2018/2019
Getafe,Madrid,Coliseum Alfonso Perez,17000,2018/2019
Girona,Girona,Montilivi,13500,2018/2019
Huesca,Huesca,El Alcoraz,7638,2018/2019
Leganes,Madrid,Butarque,12450,2018/2019
Levante,Valencia,Ciutat de Valencia,26354,2018/2019
Rayo Vallecano,Madrid,Vallecas,14708,2018/2019
Real Betis,Seville,Benito Villamarín,60721,2018/2019
Real Madrid,Madrid,Santiago Bernabeu,81044,2018/2019
Real Sociedad,San Sebastian,Anoeta,32000,2018/2019
Sevilla,Seville,Ramon Sanchez Pizjuan,43883,2018/2019
Valencia,Valencia,Mestalla,55000,2018/2019
Valladolid,Valladolid,Jose Zorrilla,26512,2018/2019
Villarreal,Villarreal,Estadio de la Ceramica,23500,2018/2019
Alaves,Vitoria-Gasteiz,Mendizorrotza,19840,2019/2020
Athletic Bilbao,Bilbao,San Mames,53289,2019/2020
Atletico Madrid,Madrid,Wanda Metropolitano,68456,2019/2020
Barcelona,Barcelona,Camp Nou,99354,2019/2020
Celta Vigo,Vigo,Balaidos,29000,2019/2020
Eibar,Eibar,Ipurua,8164,2019/2020
Espanyol,Barcelona,RCDE Stadium,40000,2019/2020
Getafe,Madrid,Coliseum Alfonso Perez,17393,2019/2020
Granada,Granada,Nuevo Los Carmenes,19336,2019/2020
Leganes,Madrid,Butarque,12450,2019/2020
Levante,Valencia,Ciutat de Valencia,26354,2019/2020
Mallorca,Palma,Visit Mallorca Stadium,24262,2019/2020
Osasuna,Pamplona,El Sadar,18570,2019/2020
Real Betis,Seville,Benito Villamarín,60721,2019/2020
Real Madrid,Madrid,Santiago Bernabeu,81044,2019/2020
Real Sociedad,San Sebastian,Reale Arena,39500,2019/2020
Sevilla,Seville,Ramon Sanchez Pizjuan,43883,2019/2020
Valencia,Valencia,Mestalla,55000,2019/2020
Valladolid,Valladolid,Jose Zorrilla,28012,2019/2020
Villarreal,Villarreal,Estadio de la Ceramica,24890,2019/2020
Alaves,Vitoria-Gasteiz,Mendizorrotza,19840,2020/2021
Athletic Bilbao,Bilbao,San Mames,53289,2020/2021
Atletico Madrid,Madrid,Wanda Metropolitano,68456,2020/2021
Barcelona,Barcelona,Camp Nou,99354,2020/2021
Cadiz,Cadiz,Nuevo Mirandilla,20724,2020/2021
Celta Vigo,Vigo,Balaidos,29000,2020/2021
Eibar,Eibar,Ipurua,8164,2020/2021
Elche,Elche,Martinez Valero,33732,2020/2021
Getafe,Madrid,Coliseum Alfonso Perez,17393,2020/2021
Granada,Granada,Nuevo Los Carmenes,19336,2020/2021
Huesca,Huesca,El Alcoraz,7638,2020/2021
Levante,Valencia,Ciutat de Valencia,26354,2020/2021
Osasuna,Pamplona,El Sadar,23576,2020/2021
Real Betis,Seville,Benito Villamarín,60721,2020/2021
Real Madrid,Madrid,Alfredo Di Stefano,6000,2020/2021
Real Sociedad,San Sebastian,Anoeta,39500,2020/2021
Sevilla,Seville,Ramon Sanchez Pizjuan,43883,2020/2021
Valencia,Valencia,Mestalla,55000,2020/2021
Valladolid,Valladolid,Jose Zorrilla,28012,2020/2021
Villarreal,Villarreal,Estadio de la Ceramica,24890,2020/2021
Alaves,Vitoria-Gasteiz,Mendizorrotza,19840,2021/2022
Athletic Bilbao,Bilbao,San Mames,53289,2021/2022
Atletico Madrid,Madrid,Wanda Metropolitano,68456,2021/2022
Barcelona,Barcelona,Camp Nou,99354,2021/2022
Cadiz,Cadiz,Nuevo Mirandilla,20724,2021/2022
Celta Vigo,Vigo,Balaidos,29000,2021/2022
Elche,Elche,Martinez Valero,33732,2021/2022
Espanyol,Barcelona,RCDE Stadium,40000,2021/2022
Getafe,Madrid,Coliseum Alfonso Perez,17393,2021/2022
Granada,Granada,Nuevo Los Carmenes,19336,2021/2022
Levante,Valencia,Ciutat de Valencia,26354,2021/2022
Mallorca,Palma,Visit Mallorca Estadi,24262,2021/2022
Osasuna,Pamplona,El Sadar,23576,2021/2022
Rayo Vallecano,Madrid,Vallecas,14708,2021/2022
Real Betis,Seville,Benito Villamarín,60721,2021/2022
Real Madrid,Madrid,Santiago Bernabeu,81044,2021/2022
Real Sociedad,San Sebastian,Anoeta,39500,2021/2022
Sevilla,Seville,Ramon Sanchez Pizjuan,43883,2021/2022
Valencia,Valencia,Mestalla,55000,2021/2022
Villarreal,Villarreal,Estadio de la Ceramica,24890,2021/2022
Almería,Almería,Power Horse Stadium,15000,2022/2023
Athletic Bilbao,Bilbao,San Mames,53289,2022/2023
Atletico Madrid,Madrid,Wanda Metropolitano,68456,2022/2023
Barcelona,Barcelona,Camp Nou,99354,2022/2023
Cadiz,Cadiz,Nuevo Mirandilla,20724,2022/2023
Celta Vigo,Vigo,Balaidos,29000,2022/2023
Elche,Elche,Martinez Valero,31388,2022/2023
Espanyol,Barcelona,RCDE Stadium,40000,2022/2023
Getafe,Madrid,Coliseum Alfonso Perez,16500,2022/2023
Girona,Girona,Montilivi,13400,2022/2023
Mallorca,Palma,Son Moix,23142,2022/2023
Osasuna,Pamplona,El Sadar,23576,2022/2023
Rayo Vallecano,Madrid,Vallecas,14708,2022/2023
Real Betis,Seville,Benito Villamarín,60721,2022/2023
Real Madrid,Madrid,Santiago Bernabeu,65000,2022/2023
Real Sociedad,San Sebastian,Reale Arena,39500,2022/2023
Sevilla,Seville,Ramon Sanchez Pizjuan,43883,2022/2023
Valencia,Valencia,Mestalla,49430,2022/2023
Valladolid,Valladolid,Jose Zorrilla,28012,2022/2023
Villarreal,Villarreal,Estadio de la Ceramica,23008,2022/2023
